consAction,coef,lower,upper
InterLegis,1.7729437,0.71885936,2.95142174
ConsPart,1.2786855,0.07244726,2.46681035
ConsEntire,0.511989,-0.59915614,1.65199848
Monitoring,0.4631697,-0.51356158,1.4358296
Recovery,0.2958976,-0.8623023,1.40438567
Harvest,0.2678011,-1.21851271,1.56551119
ExSitu,-0.1221875,-1.39477091,1.06009863
ConsSitePlan,-0.2506117,-2.51588318,1.67180178
Protected,-0.5606581,-1.48949666,0.35018283
InterTrade,-0.6682071,-1.87317736,0.51636248
EducAware,-1.1689695,-2.60700317,0.09368891