consAction,coef,lower,upper,l10,u90,loc
InterLegis,1.77,0.72,2.95,1.07,2.52,gold
ConsSitesPart,1.28,0.07,2.47,0.5,2.05,gold
ConsSitesAll,0.51,-0.6,1.65,-0.21,1.25,gray
Monitoring,0.46,-0.51,1.44,-0.17,1.1,gray
RecoveryPlan,0.3,-0.86,1.4,-0.45,1.02,gray
Harvest,0.27,-1.22,1.57,-0.67,1.13,gray
ExSitu,-0.12,-1.39,1.06,-0.94,0.66,gray
ConsSitePlan,-0.25,-2.52,1.67,-1.67,1.02,gray
ProtectedAreas,-0.56,-1.49,0.35,-1.16,0.03,gray
InterTrade,-0.67,-1.87,0.52,-1.45,0.1,gray
EducAwareProg,-1.17,-2.61,0.09,-2.08,-0.33,blue