Table 7: Species changing IUCN Red List Status (2016-2017),,,,,
,,,,,
"Published listings of a species' status may change for a variety of reasons (genuine improvement or deterioration in status; new information being available that was not known at the time of the previous assessment; taxonomic changes; corrections to mistakes made in previous assessments, etc. To help Red List users interpret the changes between the Red List updates, a summary of species that have changed category between 2016 (IUCN Red List version 2016.3) and 2017 (IUCN Red List version 2017-1) and the reasons for these changes is provided in the table below.",,,,,
"IUCN Red List Categories:  EX - Extinct, EW - Extinct in the Wild, CR - Critically Endangered, EN - Endangered, VU - Vulnerable, LR/cd - Lower Risk/conservation dependent, NT - Near Threatened (includes LR/nt - Lower Risk/near threatened), DD - Data Deficient, LC - Least Concern (includes LR/lc - Lower Risk, least concern).",,,,,
"Reasons for change:  G - Genuine status change (genuine improvement or deterioration in the species' status); N - Non-genuine status change (i.e., status changes due to new information, improved knowledge of the criteria, incorrect data used previously, taxonomic revision, etc.); E - Previous listing was an Error.",,,,,
,,,,,
Scientific name,Common name,IUCN Red List (2016) Category,IUCN Red List (2017) Category,Reason for change,Red List version
,,,,,
MAMMALS,,,,,
Aotus nancymaae,Nancy Ma’s Night Monkey,LC,VU,G,2017-1
,,,,,
BIRDS,,,,,
Strix butleri,Omani Owl,LC,DD,E,2017-1
,,,,,
REPTILES,,,,,
Acontias breviceps,Short-headed Legless Skink,NT,LC,N,2017-1
Acontias rieppeli,Woodbush Legless Skink,VU,EN,N,2017-1
Bitis inornata,Plain Mountain Adder,VU,EN,N,2017-1
Bradypodion dracomontanum,Drakensberg Dwarf Chameleon,LC,NT,N,2017-1
Bradypodion thamnobates,Natal Midlands Dwarf Chameleon,LR/nt,VU,N,2017-1
Cordylus aridus,Dwarf Karoo Girdled Lizard,EN,LC,N,2017-1
Cordylus mclachlani,Mclachlan's Girdled Lizard,VU,LC,N,2017-1
Cryptactites peringueyi,Salt Marsh Gecko,DD,CR,N,2017-1
Gerrhosaurus typicus,Karoo Plated Lizard,LR/nt,LC,N,2017-1
Goggia gemmula,Richtersveld Pygmy Gecko,DD,NT,N,2017-1
Goggia microlepidota,Small-scaled Gecko,LR/nt,LC,N,2017-1
Homopholis mulleri,Muller's Velvet Gecko,LR/nt,VU,G,2017-1
Homopus signatus,Speckled Dwarf Tortoise,LR/nt,VU,G,2017-1
Inyoka swazicus,Swazi Rock Snake,LR/nt,LC,N,2017-1
Lamprophis fiskii,Fisk's Snake,DD,LC,N,2017-1
Lamprophis fuscus,Yellow-bellied Snake,LR/nt,LC,N,2017-1
Ouroborus cataphractus,Armadillo Girdled Lizard,VU,LC,N,2017-1
Platysaurus relictus,Soutpansberg Flat Lizard,LR/nt,LC,G,2017-1
Scelotes guentheri, Günther's Dwarf Burrowing Skink,VU,EX,N,2017-1
Scelotes inornatus,Durban Dwarf Burrowing Skink,EN,CR,N,2017-1
Scelotes kasneri,Kasner's Dwarf Burrowing Skink,VU,NT,N,2017-1
Typhlosaurus lomiae,Lomi's Blind Legless Skink,VU,NT,N,2017-1
Xenocalamus transvaalensis,Speckled Quill-snouted Snake,DD,LC,N,2017-1
,,,,,
DRAGONFLIES & DAMSELFLIES,,,,,
Acanthaeschna victoria,Thylacine Darner,VU,EN,N,2017-1
Agriocnemis dobsoni,Tropical Wisp,DD,NT,N,2017-1
Antipodogomphus dentosus,Top End Dragon,VU,DD,N,2017-1
Austroargiolestes brookhousei,Barrington Flatwing,DD,LC,N,2017-1
Austrolestes minjerriba,Dune Ringtail,EN,LC,N,2017-1
Ceriagrion nigrolineatum,,DD,LC,N,2017-1
Cordulephya bidens,Tropical Shutwing,DD,VU,N,2017-1
Dromaeschna forcipata,Green-striped Darner,NT,LC,N,2017-1
Eurysticta coomalie,Coomalie Pin,NT,LC,N,2017-1
Griseargiolestes bucki,Turquoise Flatwing,DD,VU,N,2017-1
Hemigomphus theischingeri,Rainforest Vicetail,LC,NT,N,2017-1
Indolestes alleni,Small Reedling,DD,LC,N,2017-1
Macromia viridescens,Rainforest Cruiser,DD,LC,N,2017-1
Nesolestes martini,,DD,LC,N,2017-1
Nososticta kalumburu,Spot-winged Threadtail,DD,LC,N,2017-1
Orthetrum balteatum,Speckled Skimmer,LC,NT,N,2017-1
Pseudagrion apicale,,DD,LC,N,2017-1
Pseudagrion igniceps,,DD,LC,N,2017-1
Spinaeschna watsoni,Tropical Cascade Darner,DD,LC,N,2017-1
Synthemiopsis gomphomacromioides,Tasmanian Spotwing,NT,LC,N,2017-1
Viridithemis viridula,,DD,LC,N,2017-1
,,,,,
BEETLES,,,,,
Ampedus corsicus,,NT,VU,N,2017-1
Ampedus talamellii,,DD,LC,N,2017-1
Dorcus musimon,,LC,VU,N,2017-1
Stenagostus laufferi,,DD,LC,N,2017-1
Stenagostus sardiniensis,,DD,EN,N,2017-1
Triplax emgei,,VU,EN,N,2017-1
,,,,,
TREES,,,,,
Olea chimanimani,,VU,LC,N,2017-1
,,,,,
OTHER FLOWERING PLANTS,,,,,
Aloe ballii,,EN,VU,N,2017-1
Blyxa hexandra,,DD,LC,N,2017-1
Carex runssoroensis,,VU,LC,N,2017-1
Carpha angustissima,,NT,EN,N,2017-1
Eclipta prostrata,Eclipte Blanche,DD,LC,N,2017-1
Helichrysum formosissimum,,DD,LC,N,2017-1
Hygrophila asteracanthoides,,NT,VU,N,2017-1
Lagarosiphon hydrilloides,,DD,EN,N,2017-1
Luzula johnstonii,,DD,LC,N,2017-1
Nymphoides tenuissima,,NT,EN,N,2017-1
Ottelia scabra,,NT,LC,N,2017-1
Ottelia verdickii,,DD,LC,N,2017-1
Psilotrichum axilliflorum,,VU,EN,N,2017-1
Sphaeranthus samburuensis,,DD,EN,N,2017-1